Original Url Aprendo SEO ,,Original Url aprendoCLUB,Done?,Notas 
Programas ,,,FALSE,
.,,/programas/,FALSE,
,,reto,FALSE,"organizar dentro de la sumbcarpeta para mejor organización, igual que https://www.aprendoclub.com/programas/taller-seo-con-ia "
https://www.aprendoseo.com/curso-seo-con-ia/,Aplicar redireccion 301,/programas/taller-seo-con-ia,TRUE,
https://www.aprendoseo.com/diplomado,Aplicar redireccion 301,diplomado,TRUE,"organizar dentro de la sumbcarpeta para mejor organización, igual que https://www.aprendoclub.com/programas/taller-seo-con-ia "
https://www.aprendoseo.com/curso-seo-rdss,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/curso-basico-de-seo,Crear Página nueva y redirigir ,,FALSE,
,,,FALSE,
Cluster /SEO-BASICO/ ,,,FALSE,
https://www.aprendoseo.com/seo-basico/chat-gpt-seo,Aplicar redireccion 301,/seo-basico/chat-gpt-seo,TRUE,
https://www.aprendoseo.com/seo-basico/como-aparecer-en-google,Aplicar redireccion 301,/seo-basico/como-aparecer-en-google,TRUE,
https://www.aprendoseo.com/seo-basico/como-aprender-seo-desde-cero,Aplicar redireccion 301,/seo-basico/como-aprender-seo-desde-cero,TRUE,
https://www.aprendoseo.com/aprender-seo/aprender-seo-desde-cero,Aplicar redireccion 301,/seo-basico/como-aprender-seo-desde-cero,TRUE,
https://www.aprendoseo.com/seo-basico/como-conseguir-clientes-si-eres-consultor-seo,Aplicar redireccion 301,/seo-basico/como-conseguir-clientes-si-eres-consultor-seo,TRUE,
https://www.aprendoseo.com/seo-basico/como-construir-backlinks,Aplicar redireccion 301,/seo-basico/como-construir-backlinks,TRUE,
https://www.aprendoseo.com/seo-basico/como-funciona-el-seo-para-posicionar-tu-web,Aplicar redireccion 301,/seo-basico/como-funciona-el-seo-para-posicionar-tu-web,TRUE,
https://www.aprendoseo.com/seo-basico/como-hacer-seo-en-latinoamerica,Aplicar redireccion 301,/seo-basico/como-hacer-seo-en-latinoamerica,TRUE,
https://www.aprendoseo.com/seo-basico/como-pasar-de-seo-in-house-a-seo-freelancer,Aplicar redireccion 301,/seo-basico/como-pasar-de-seo-in-house-a-seo-freelancer,TRUE,
https://www.aprendoseo.com/seo-basico/como-posicionarse-en-google,Aplicar redireccion 301,/seo-basico/como-posicionarse-en-google,TRUE,
https://www.aprendoseo.com/seo-basico/como-vivir-del-seo,Aplicar redireccion 301,/seo-basico/como-vivir-del-seo,TRUE,
https://www.aprendoseo.com/seo-basico/consejos-seo,Aplicar redireccion 301,/seo-basico/consejos-seo,TRUE,
https://www.aprendoseo.com/seo-basico/contenido-seo,Aplicar redireccion 301,/seo-basico/contenido-seo,TRUE,
https://www.aprendoseo.com/seo-basico/diccionario-seo,Aplicar redireccion 301,/seo-basico/diccionario-seo,TRUE,
https://www.aprendoseo.com/seo-basico/elementos-de-una-pagina-web,Aplicar redireccion 301,/seo-basico/elementos-de-una-pagina-web,TRUE,
https://www.aprendoseo.com/seo-basico/errores-seo,Aplicar redireccion 301,/seo-basico/errores-seo,TRUE,
https://www.aprendoseo.com/seo-basico/estrategia-seo,Aplicar redireccion 301,/seo-basico/estrategia-seo,TRUE,
https://www.aprendoseo.com/seo-basico/factores-del-seo-on-page,Aplicar redireccion 301,/seo-basico/factores-del-seo-on-page,TRUE,
https://www.aprendoseo.com/seo-basico/formas-de-mejorar-el-seo,Aplicar redireccion 301,/seo-basico/formas-de-mejorar-el-seo,TRUE,
https://www.aprendoseo.com/seo-basico/geo-cambiando-el-seo,Aplicar redireccion 301,/seo-basico/geo-cambiando-el-seo,TRUE,
https://www.aprendoseo.com/seo-basico/intencion-de-busqueda-en-seo-que-es-y-como-funciona,Aplicar redireccion 301,/seo-basico/intencion-de-busqueda-en-seo-que-es-y-como-funciona,TRUE,
https://www.aprendoseo.com/seo-basico/marketing-digital,Aplicar redireccion 301,/seo-basico/marketing-digital,TRUE,
https://www.aprendoseo.com/seo-basico/metricas-seo,Aplicar redireccion 301,/seo-basico/metricas-seo,TRUE,
https://www.aprendoseo.com/seo-basico/motor-de-busqueda,Aplicar redireccion 301,/seo-basico/motor-de-busqueda,TRUE,
https://www.aprendoseo.com/seo-basico/palabras-clave,Aplicar redireccion 301,/seo-basico/palabras-clave,TRUE,
https://www.aprendoseo.com/seo-basico/que-es-eeat,Aplicar redireccion 301,/seo-basico/que-es-eeat,TRUE,
https://www.aprendoseo.com/seo-basico/que-es-la-redaccion-seo,Aplicar redireccion 301,/seo-basico/que-es-la-redaccion-seo,TRUE,
https://www.aprendoseo.com/seo-basico/que-es-seo,Aplicar redireccion 301,/seo-basico/que-es-seo,TRUE,
https://www.aprendoseo.com/seo-basico/que-es-una-url,Aplicar redireccion 301,/seo-basico/que-es-una-url,TRUE,
https://www.aprendoseo.com/seo-basico/que-son-las-palabras-clave-lsi,Aplicar redireccion 301,/seo-basico/que-son-las-palabras-clave-lsi,TRUE,
https://www.aprendoseo.com/seo-basico/seo-para-ecommerce,Aplicar redireccion 301,/seo-basico/seo-para-ecommerce,TRUE,
https://www.aprendoseo.com/seo-basico/seo-vs-sem,Aplicar redireccion 301,/seo-basico/seo-vs-sem,TRUE,
https://www.aprendoseo.com/seo-basico/serp-tipos-de-resultados-de-busqueda,Aplicar redireccion 301,/seo-basico/serp-tipos-de-resultados-de-busqueda,TRUE,
https://www.aprendoseo.com/seo-basico/titulo-seo,Aplicar redireccion 301,/seo-basico/titulo-seo,TRUE,
Custer /empieza-en-seo/,,,FALSE,
https://www.aprendoseo.com/empieza-en-seo/agencia-seo-vs-seo-freelanc,Aplicar redireccion 301,/empieza-en-seo/agencia-seo-vs-seo-freelanc,TRUE,
https://www.aprendoseo.com/empieza-en-seo/como-aprender-seo-en-mexico,Aplicar redireccion 301,/empieza-en-seo/como-aprender-seo-en-mexico,TRUE,
https://www.aprendoseo.com/empieza-en-seo/como-aprender-seo-sin-conocimientos-previos,Aplicar redireccion 301,/empieza-en-seo/como-aprender-seo-sin-conocimientos-previos,TRUE,
https://www.aprendoseo.com/empieza-en-seo/como-negociar-un-salario-en-seo,Aplicar redireccion 301,/empieza-en-seo/como-negociar-un-salario-en-seo,TRUE,
https://www.aprendoseo.com/empieza-en-seo/como-posicionar-mi-tienda-online-desde-cero,Aplicar redireccion 301,/empieza-en-seo/como-posicionar-mi-tienda-online-desde-cero,TRUE,
https://www.aprendoseo.com/empieza-en-seo/habilidades-para-ser-un-especialista-seo,Aplicar redireccion 301,/empieza-en-seo/habilidades-para-ser-un-especialista-seo,TRUE,
https://www.aprendoseo.com/empieza-en-seo/portafolio-seo,Aplicar redireccion 301,/empieza-en-seo/portafolio-seo,TRUE,
https://www.aprendoseo.com/empieza-en-seo/posicionamiento-web-en-google,Aplicar redireccion 301,/empieza-en-seo/posicionamiento-web-en-google,TRUE,
https://www.aprendoseo.com/empieza-en-seo/que-es-el-posicionamiento-web-seo,Aplicar redireccion 301,/empieza-en-seo/que-es-el-posicionamiento-web-seo,TRUE,
https://www.aprendoseo.com/empieza-en-seo/que-es-un-seo-manager,Aplicar redireccion 301,/empieza-en-seo/que-es-un-seo-manager,TRUE,
https://www.aprendoseo.com/empieza-en-seo/que-hace-un-especialista-seo,Aplicar redireccion 301,/empieza-en-seo/que-hace-un-especialista-seo,TRUE,
https://www.aprendoseo.com/empieza-en-seo/que-hay-que-estudiar-para-ser-seo,Aplicar redireccion 301,/empieza-en-seo/que-hay-que-estudiar-para-ser-seo,TRUE,
https://www.aprendoseo.com/empieza-en-seo/tecnicas-de-seo,Aplicar redireccion 301,/empieza-en-seo/tecnicas-de-seo,TRUE,
https://www.aprendoseo.com/empieza-en-seo/un-seo-necesita-saber-programar,Aplicar redireccion 301,/empieza-en-seo/un-seo-necesita-saber-programar,TRUE,
https://www.aprendoseo.com/aprender-seo/como-aprender-seo-sin-conocimientos-previos-n3sba,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/aprender-seo/cuanto-gana-un-seo,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/aprender-seo/funcion-especialista-seo,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/aprender-seo/trabajar-como-seo,Crear Página nueva y redirigir ,,FALSE,
cluster /SEO-ONPAGE/ ,,,FALSE,
https://www.aprendoseo.com/seo-onpage/analisis-de-competidores,Aplicar redireccion 301,/seo-onpage/analisis-de-competidores,TRUE,
https://www.aprendoseo.com/seo-onpage/como-funciona-una-pagina-web,Aplicar redireccion 301,/seo-onpage/como-funciona-una-pagina-web,TRUE,
https://www.aprendoseo.com/seo-onpage/copywriting-seo,Aplicar redireccion 301,/seo-onpage/copywriting-seo,TRUE,
https://www.aprendoseo.com/seo-onpage/densidad-de-palabras-clave,Aplicar redireccion 301,/seo-onpage/densidad-de-palabras-clave,TRUE,
https://www.aprendoseo.com/seo-onpage/descubre-el-seo-on-page-que-es-y-para-que-sirve,Aplicar redireccion 301,/seo-onpage/descubre-el-seo-on-page-que-es-y-para-que-sirve,TRUE,
https://www.aprendoseo.com/seo-onpage/enlaces-internos-seo,Aplicar redireccion 301,/seo-onpage/enlaces-internos-seo,TRUE,
https://www.aprendoseo.com/seo-onpage/estrategias-de-linkbuilding,Aplicar redireccion 301,/seo-onpage/estrategias-de-linkbuilding,TRUE,
https://www.aprendoseo.com/seo-onpage/landing-page-estructura,Aplicar redireccion 301,/seo-onpage/landing-page-estructura,TRUE,
https://www.aprendoseo.com/seo-onpage/planificador-de-palabras-clave-seo,Aplicar redireccion 301,/seo-onpage/planificador-de-palabras-clave-seo,TRUE,
https://www.aprendoseo.com/seo-onpage/que-es-la-canibalizacion-de-las-palabras-clave,Aplicar redireccion 301,/seo-onpage/que-es-la-canibalizacion-de-las-palabras-clave,TRUE,
https://www.aprendoseo.com/seo-onpage/que-es-un-informe-seo-todo-lo-que-debes-saber,Aplicar redireccion 301,/seo-onpage/que-es-un-informe-seo-todo-lo-que-debes-saber,TRUE,
https://www.aprendoseo.com/seo-onpage/rich-snippets-seo,Aplicar redireccion 301,/seo-onpage/rich-snippets-seo,TRUE,
CRear cluster Cursos SEO ,,,FALSE,
https://www.aprendoseo.com/seo-cursos,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/seo-cursos/mejores-certificaciones-meta-ads,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/seo-cursos/mejores-cursos-seo,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-alicante,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-bilbao,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-caracas,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-cdmx,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-guadalajara,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seos-con-ia/curso-seo-malaga,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-maracaibo,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-puebla,Crear Página nueva y redirigir ,,FALSE,
https://www.aprendoseo.com/cursos-seo/curso-seo-toledo,Crear Página nueva y redirigir ,,FALSE,
